name,link,price,mileage,BHP,transmission,fuel,owners,body,ULEZ,engine,year
Nissan Leaf,https://www.autotrader.co.uk/dealers/nottinghamshire/mansfield/gk-motors-10003949,"£11,559",31323,,Automatic,Electric,,Hatchback,,,2015 (15 reg)
Nissan Leaf,https://www.autotrader.co.uk,"£6,950",117000,,Automatic,Electric,,Hatchback,,,2015 (65 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/berkshire/reading/beenham-garage-limited-10001035,"£10,995",58682,,Automatic,Electric,2,Hatchback,,,2015 (65 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/lancashire/manchester/sj-branagan-10030299,"£7,989",107900,,Automatic,Electric,,Hatchback,,,2015 (15 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/lancashire/manchester/sj-branagan-10030299,"£11,989",45000,,Automatic,Electric,2,Hatchback,,,2015 (15 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/middlesex/edgware/aow-group-ltd-10033566,"£11,295",81450,109,Automatic,Electric,,Hatchback,ULEZ,,2016 (66 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/middlesex/uxbridge/kassam-car-sales-65355,"£8,490",112647,,Automatic,Electric,,Hatchback,,,2016 (66 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/leicestershire/loughborough/sandicliffe-nissan-loughborough-10011841,"£13,489",53961,,Automatic,Electric,2,Hatchback,,,2016 (66 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/somerset/radstock/drive-green-10011240,"£10,495",75000,109,Automatic,Electric,2,Hatchback,ULEZ,,2016 (66 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/cambridgeshire/peterborough/carworld-car-supermarket-27396,"£9,990",92013,,Automatic,Electric,,Hatchback,,,2016 (16 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/essex/grays/fusion-motors-ltd-10019605,"£12,500",37519,,Automatic,Electric,2,Hatchback,,,2016 (16 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/hampshire/southampton/richmond-select-totton-10034325,"£15,401",33444,,Automatic,Electric,,Hatchback,,,2016 (66 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/middlesex/harrow/vibe-motors-ltd-10003309,"£11,000",42293,,Automatic,Electric,,Hatchback,,,2016 (16 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/derbyshire/derby/hilton-garage-ltd-4400,"£12,700",28711,,Automatic,Electric,2,Hatchback,,,2016 (16 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/hertfordshire/stevenage/stevenage-cars-10000881,"£14,895",36000,,Automatic,Electric,2,Hatchback,,,2016 (66 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/hertfordshire/stevenage/quality-part-x-stevenage-10012201,"£12,179",49113,,Automatic,Electric,,Hatchback,,,2016 (66 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/cheshire/stockport/renault-stockport-123338,"£10,999",32089,,Automatic,Electric,2,Hatchback,,,2016 (16 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/middlesex/uxbridge/amin-motors-ltd-10009701,"£12,797",28351,109,Automatic,Electric,2,Hatchback,ULEZ,,2016 (16 reg)
Nissan Leaf,https://www.autotrader.co.uk,"£13,150",47700,,Automatic,Electric,4,Hatchback,,,2016 (16 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/cambridgeshire/peterborough/r-w-cars-10010221,"£12,600",51160,,Automatic,Electric,2,Hatchback,,,2016 (16 reg)
